Info,Info,Info,Info,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Count,Count,Rate,Rate
Africa,Sub-Saharan Africa,Réunion,Male,,,,,13.0,18.0,11.0,16.0,14.0,9.0,,,,,,,,,,,,,,,,,3.17273603964791,4.37783104301022,2.65592508054705,3.84472593712191,3.19533055694612,2.14762291334029,,,,,,,,,,,,,81.0,13.5,19.3941715706135,3.2323619284355836
Africa,Sub-Saharan Africa,Rwanda,Female,,,,,,,,,,,,,,,73.0,72.0,,,,,,,,,,,,,,,,,,,,,1.24916590369153,1.20417809660251,,,,,,,145.0,72.5,2.45334400029404,1.22667200014702
Africa,Sub-Saharan Africa,Rwanda,Male,,,,,,,,,,,,,,,51.0,67.0,,,,,,,,,,,,,,,,,,,,,0.92315177773691,1.18295617924223,,,,,,,118.0,59.0,2.10610795697914,1.05305397848957
Africa,Sub-Saharan Africa,Sao Tome and Principe,Female,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0
Africa,Sub-Saharan Africa,Sao Tome and Principe,Male,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0
Africa,Sub-Saharan Africa,Seychelles,Female,,,,,2.0,,3.0,1.0,1.0,3.0,1.0,5.0,0.0,7.0,2.0,,,,,,,,,,,,4.35315396887931,,6.02031857519127,3.36719822801192,2.74514738009997,6.32746912534038,2.87214181998054,11.1595012400415,0.969968560894019,14.1234764544974,5.25447677316013,,,,,,,,25.0,2.5,57.19285212609644,5.719285212609644
Africa,Sub-Saharan Africa,Seychelles,Male,,,,,8.0,,6.0,7.0,5.0,11.0,8.0,11.0,4.0,11.0,14.0,,,,,,,,,,,,19.0507437727881,,14.485126189591,14.5045195680071,10.4505720599602,23.9426232136558,16.1916855694601,22.5484154046871,7.18460966801491,22.7410346629319,26.4658271285253,,,,,,,,85.0,8.5,177.56515723762152,17.756515723762153
Africa,Sub-Saharan Africa,South Africa,Female,,,,,,,2727.0,2679.0,2546.0,2596.0,2742.0,2400.0,,,,,2639.0,2930.0,2771.0,2695.0,,,,,,,,,10.5717350408335,10.2948133163488,9.68383079248359,9.77024080505512,10.2090671013959,8.83330243144419,,,,,9.09871096365537,10.0425213377872,9.38771929459031,9.01968069225899,,,26725.0,2672.5,96.91162177585295,9.691162177585294
Africa,Sub-Saharan Africa,South Africa,Male,,,,,,,16379.0,15721.0,15538.0,14171.0,13151.0,13154.0,,,,,16377.0,17425.0,18251.0,18630.0,,,,,,,,,69.1205152204791,65.579879119427,64.0015032841338,57.6057400262208,52.7574158619031,52.0373935792037,,,,,59.7304743041703,63.4437612199655,65.5983444388241,66.0452141707505,,,158797.0,15879.7,615.9202412250778,61.59202412250778
Africa,Sub-Saharan Africa,Uganda,Female,,,,,,,,,385.0,,600.0,743.0,741.0,791.0,841.0,,911.0,834.0,,,,,,,,,,,,,2.48184426169404,,3.65299906200117,4.3964807916837,4.26177624104606,4.42236566428335,4.56770921128274,,4.64391637015184,4.10762054481085,,,,,5846.0,730.75,32.53471214695375,4.066839018369219
Africa,Sub-Saharan Africa,Uganda,Male,,,,,,,,,2408.0,,2560.0,3010.0,3325.0,3066.0,3632.0,,3571.0,3901.0,,,,,,,,,,,,,16.0563256972324,,16.0835666942632,18.3582956853583,19.6906600270748,17.6336458244277,20.26627940358,,18.6658091510658,19.678803686126,,,,,25473.0,3184.125,146.4333861691282,18.304173271141025
Africa,Sub-Saharan Africa,United Republic of Tanzania,Female,,,,,,,,,,,550.0,557.0,521.0,494.0,,671.0,638.0,536.0,544.0,487.0,531.0,,,,,,,,,,,,2.39813763247612,2.35970844848915,2.14379886837869,1.97256477843835,,2.5147774092186,2.31255114661759,1.8804294879901,1.84964111012331,1.60677601530799,1.70033914561128,,5529.0,552.9,20.73872404265118,2.073872404265118
Africa,Sub-Saharan Africa,United Republic of Tanzania,Male,,,,,,,,,,,3338.0,3592.0,3571.0,3203.0,,3075.0,2801.0,2611.0,2190.0,2232.0,1755.0,,,,,,,,,,,,15.0522653614275,15.7464985575975,15.2064315668316,13.2300122932134,,11.8907022886586,10.4463385555392,9.40463526052776,7.6361611211865,7.54986602793176,5.75873291338006,,28368.0,2836.8,111.92164394629387,11.192164394629387
Africa,Sub-Saharan Africa,Zimbabwe,Female,,,,,,,,,,,,,,,,,,,163.0,167.0,146.0,158.0,,,,,,,,,,,,,,,,,,,2.04614971426398,2.05598736761965,1.76233861851845,1.86985932918086,634.0,158.5,7.73433502958294,1.933583757395735
Africa,Sub-Saharan Africa,Zimbabwe,Male,,,,,,,,,,,,,,,,,,,571.0,623.0,634.0,824.0,,,,,,,,,,,,,,,,,,,8.0581399738428,8.61450365767262,8.58471437443396,10.9230356149951,2652.0,663.0,36.18039362094448,9.04509840523612
Americas,Latin America and the Caribbean,Anguilla,Female,0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
Americas,Latin America and the Caribbean,Anguilla,Male,1.0,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,18.3688464364438,,,,,,,,15.9833772876209,15.7207986165697,,,,14.8577371666295,,,,,,,,,4.0,1.0,64.9307595072639,16.232689876815975
Americas,Latin America and the Caribbean,Antigua and Barbuda,Female,,1.0,1.0,,,,,,5.0,,,,,,,1.0,2.0,2.0,3.0,1.0,1.0,5.0,,1.92597911963495,3.0566831319998,,,,,,11.393804049358,,,,,,,2.12370586673746,4.22047775808222,4.19652318054492,6.26174076393237,2.07660599516151,2.06489980073717,10.2651487933318,22.0,2.2,47.5855684595202,4.75855684595202
Americas,Latin America and the Caribbean,Antigua and Barbuda,Male,,6.0,4.0,,,,,,11.0,,,,,,,4.0,8.0,18.0,9.0,2.0,8.0,11.0,,17.3652295388756,10.3302939312967,,,,,,27.9418301898774,,,,,,,9.3342356427788,16.2125230159925,41.4169188113344,20.5876634145784,4.54948704533564,18.0850222106679,24.7129922940397,81.0,8.1,190.53619609477707,19.053619609477707
Americas,Latin America and the Caribbean,Argentina,Female,,,,,,,,,,,,,,,,387.0,,408.0,396.0,408.0,371.0,308.0,,,,,,,,,,,,,,,,1.7707825005508,,1.83378471929217,1.76575754677418,1.8059370179465,1.63155592759331,1.34721740010006,2278.0,379.6666666666667,10.15503511225702,1.6925058520428367
Americas,Latin America and the Caribbean,Argentina,Male,,,,,,,,,,,,,,,,2450.0,,1909.0,1988.0,1895.0,2044.0,1785.0,,,,,,,,,,,,,,,,11.4473568415163,,8.75465251424425,9.04172250089496,8.55400329611251,9.16715191502319,7.96347331015152,12071.0,2011.8333333333333,54.92836037794273,9.154726729657122
Americas,Latin America and the Caribbean,Aruba,Female,,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,4.23926406375853,2.0906724647983,2.06722619589035,0.0,2.02371797466305,1.99938019214044,0.0,1.95038227492589,1.9260586099635,0.0,0.0,1.8698753728064,1.85346505291643,0.0,,,,,,,,10.0,0.7142857142857143,20.02004220186289,1.4300030144187779
Americas,Latin America and the Caribbean,Aruba,Male,,2.0,4.0,3.0,2.0,5.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,5.0,2.0,,,,,,,,,4.596380350474,9.1013549642203,6.76788413382363,4.47802966694654,11.0941001575362,8.77366146827225,6.5004712841681,8.56091088091773,6.3435005550563,8.35814658099566,4.14014386999948,6.16877775949992,10.2193063134874,4.06578439145372,,,,,,,,46.0,3.2857142857142856,99.16845237685122,7.083460884060801
Americas,Latin America and the Caribbean,Bahamas,Female,16.0,5.0,12.0,6.0,2.0,8.0,5.0,8.0,7.0,10.0,13.0,16.0,10.0,15.0,11.0,16.0,7.0,6.0,3.0,6.0,11.0,6.0,9.89821226916848,3.0593731842383,7.15294667873729,3.45789437285322,1.13606993646529,4.47858118548044,2.75782947788772,4.34568866943161,3.74391613627855,5.26586011242611,6.74153224656376,8.18426881230914,5.05536892818596,7.50589212531837,5.45036083866189,7.8491587909352,3.40241863358868,2.89116219901797,1.43368833049383,2.8460230385565,5.18952376683942,2.81851576959573,199.0,9.045454545454545,104.66428550303345,4.757467522865157
Americas,Latin America and the Caribbean,Bahamas,Male,58.0,38.0,40.0,44.0,42.0,44.0,56.0,70.0,66.0,77.0,81.0,111.0,100.0,102.0,111.0,130.0,104.0,116.0,99.0,89.0,62.0,113.0,36.2261448563245,23.5083621182376,24.403085546352,26.6707885158009,25.1430760757645,26.0084172695891,32.6792617988183,40.3281559662626,37.5373240437935,43.2210334878813,44.8908901974368,60.8375855699824,54.2736422769964,54.895671314859,59.2602083717057,68.8362438709268,54.6676443764603,60.5772595056687,45.6772693297899,45.9386847599704,31.8756233740861,57.9405468459576,1753.0,79.68181818181819,955.3969194726644,43.42713270330293
Americas,Latin America and the Caribbean,Barbados,Female,5.0,4.0,8.0,11.0,1.0,9.0,2.0,6.0,4.0,3.0,8.0,2.0,2.0,7.0,3.0,3.0,2.0,2.0,4.0,5.0,5.0,6.0,3.62852602016009,3.22984062674411,5.40168748717099,7.8875946063194,0.628295427365836,6.51116946216618,1.07745567154964,4.2298649615611,2.80638733758033,2.09499401180878,5.56833565927354,1.38900946262696,1.38616949387486,4.84222977763789,2.07147986521571,2.06791729709423,1.37632514305179,1.37416905714826,2.74438772709808,3.42566646341046,2.05247494270174,4.099312681907,102.0,4.636363636363637,69.89329318346697,3.176967871975771
Americas,Latin America and the Caribbean,Barbados,Male,15.0,21.0,18.0,22.0,21.0,20.0,33.0,19.0,19.0,16.0,23.0,25.0,20.0,17.0,22.0,28.0,26.0,28.0,24.0,43.0,40.0,26.0,11.8240580167113,16.1499524489226,13.713712537076,17.1821976811843,16.4430274790083,15.4020129654717,25.91377175621,14.6610028897608,14.6037577774618,12.2518052269264,17.5516916396714,19.011551418642,15.1612780957435,12.8492443510565,16.5826229186924,21.0511279269526,14.9998687511484,20.9511053578711,17.9189391987994,32.0363575406508,28.2469077069458,19.283041677328,526.0,23.90909090909091,393.78903536223515,17.899501607374326
Americas,Latin America and the Caribbean,Belize,Female,,,,,14.0,,,,,9.0,16.0,12.0,14.0,10.0,12.0,9.0,15.0,11.0,19.0,17.0,11.0,11.0,,,,,10.3579025247387,,,,,5.73527865488598,10.023154263337,7.29891489465233,8.33392861394861,5.82682671017364,6.84644284503932,5.03058877452063,8.21852510348493,5.91061008242614,10.0154448702473,8.80140408281603,5.60908263453512,5.53318527870906,180.0,12.857142857142858,103.54128933351478,7.395806380965341
Americas,Latin America and the Caribbean,Belize,Male,,,,,65.0,,,,,88.0,113.0,112.0,131.0,89.0,111.0,110.0,123.0,131.0,124.0,117.0,91.0,114.0,,,,,47.4570331323102,,,,,55.9629118520544,70.0091174664608,67.8255550946378,77.4822411886131,51.4250220289771,62.6900822595539,60.7850667668699,66.5591618956915,69.4637767614503,64.4628013246066,59.7109378189687,45.77234545546,56.6514519419273,1519.0,108.5,856.2575049875817,61.161250356255835
